number,group,folder,file,path,title,purpose,next
1,System,00-system,index.html,screens/00-system/index.html,Ghost UI/UX Demo,Complete clickable product demo.,
2,System,00-system,journey-map.html,screens/00-system/journey-map.html,Complete User Journey,From account creation to daily operations.,
3,System,00-system,ecosystem-map.html,screens/00-system/ecosystem-map.html,Six Independent Ecosystems,Separate catalogs and installs attached to one workspace.,
4,System,00-system,workspace-manifest.html,screens/00-system/workspace-manifest.html,Workspace Manifest,The business dashboard's single source of installed workspace state.,
5,Account,01-account,welcome.html,screens/01-account/welcome.html,Welcome to Ghost,"Your business software, connected without becoming one giant all-in-one.",screens/01-account/create-account.html
6,Account,01-account,choose-account-type.html,screens/01-account/choose-account-type.html,How will you use Ghost?,"Choose business owner, team member, developer, or operator.",screens/01-account/create-account.html
7,Account,01-account,create-account.html,screens/01-account/create-account.html,Create your account,"One identity for every business, app, connection, device, plugin, and automation.",screens/01-account/verify-phone.html
8,Account,01-account,verify-phone.html,screens/01-account/verify-phone.html,Verify your phone,Confirm your identity before creating or claiming a workspace.,screens/01-account/secure-account.html
9,Account,01-account,secure-account.html,screens/01-account/secure-account.html,Secure your account,Add a passkey or authenticator for sensitive approvals.,screens/01-account/privacy-principles.html
10,Account,01-account,privacy-principles.html,screens/01-account/privacy-principles.html,Your data stays yours,Apps receive only approved permissions; connections stay separate.,screens/01-account/workspace-choice.html
11,Account,01-account,workspace-choice.html,screens/01-account/workspace-choice.html,Create or join a workspace,"A workspace owns installs, permissions, surfaces, billing, and businesses.",screens/01-account/create-workspace.html
12,Account,01-account,create-workspace.html,screens/01-account/create-workspace.html,Create workspace,Create the account-level container for your businesses.,screens/02-setup/business-choice.html
13,Account,01-account,join-workspace.html,screens/01-account/join-workspace.html,Join workspace,Use an invitation to join an existing workspace.,screens/03-owner-dashboard/dashboard-home.html
14,Setup,02-setup,business-choice.html,screens/02-setup/business-choice.html,Add a business,Claim an existing business or create a new record.,screens/02-setup/find-business.html
15,Setup,02-setup,find-business.html,screens/02-setup/find-business.html,Find your business,Search the existing directory before creating a duplicate.,screens/02-setup/claim-business.html
16,Setup,02-setup,claim-business.html,screens/02-setup/claim-business.html,Claim this business,Confirm the business you control.,screens/02-setup/verify-ownership.html
17,Setup,02-setup,verify-ownership.html,screens/02-setup/verify-ownership.html,Verify ownership,Use an approved proof path before owner access is granted.,screens/02-setup/industry.html
18,Setup,02-setup,industry.html,screens/02-setup/industry.html,What kind of business is this?,"Industry changes recommendations, not the platform foundation.",screens/02-setup/business-basics.html
19,Setup,02-setup,business-basics.html,screens/02-setup/business-basics.html,Business basics,"Confirm public identity, contact details, and description.",screens/02-setup/business-hours.html
20,Setup,02-setup,business-hours.html,screens/02-setup/business-hours.html,Hours,Set canonical hours once; connections can publish them elsewhere.,screens/02-setup/business-media.html
21,Setup,02-setup,business-media.html,screens/02-setup/business-media.html,Brand & media,"Add logo, hero, and gallery assets independently from page layout.",screens/02-setup/business-data-review.html
22,Setup,02-setup,business-data-review.html,screens/02-setup/business-data-review.html,Review imported data,Separate owner truth from provider observations and conflicts.,screens/02-setup/recommended-data-modules.html
23,Setup,02-setup,recommended-data-modules.html,screens/02-setup/recommended-data-modules.html,Choose Data Modules,"Enable canonical business data such as Menu, Events, Pricing, and Amenities.",screens/02-setup/recommended-apps.html
