number,group,file,title,purpose,next
1,System,index.html,Ghost UI/UX Demo,Complete clickable product demo.,
2,System,journey-map.html,Complete User Journey,From account creation to daily operations.,
3,System,ecosystem-map.html,Six Independent Ecosystems,Separate catalogs and installs attached to one workspace.,
4,System,workspace-manifest.html,Workspace Manifest,The business dashboard's single source of installed workspace state.,
5,Account,welcome.html,Welcome to Ghost,"Your business software, connected without becoming one giant all-in-one.",create-account.html
6,Account,choose-account-type.html,How will you use Ghost?,"Choose business owner, team member, developer, or operator.",create-account.html
7,Account,create-account.html,Create your account,"One identity for every business, app, connection, device, plugin, and automation.",verify-phone.html
8,Account,verify-phone.html,Verify your phone,Confirm your identity before creating or claiming a workspace.,secure-account.html
9,Account,secure-account.html,Secure your account,Add a passkey or authenticator for sensitive approvals.,privacy-principles.html
10,Account,privacy-principles.html,Your data stays yours,Apps receive only approved permissions; connections stay separate.,workspace-choice.html
11,Account,workspace-choice.html,Create or join a workspace,"A workspace owns installs, permissions, surfaces, billing, and businesses.",create-workspace.html
12,Account,create-workspace.html,Create workspace,Create the account-level container for your businesses.,business-choice.html
13,Account,join-workspace.html,Join workspace,Use an invitation to join an existing workspace.,dashboard-home.html
14,Setup,business-choice.html,Add a business,Claim an existing business or create a new record.,find-business.html
15,Setup,find-business.html,Find your business,Search the existing directory before creating a duplicate.,claim-business.html
16,Setup,claim-business.html,Claim this business,Confirm the business you control.,verify-ownership.html
17,Setup,verify-ownership.html,Verify ownership,Use an approved proof path before owner access is granted.,industry.html
18,Setup,industry.html,What kind of business is this?,"Industry changes recommendations, not the platform foundation.",business-basics.html
19,Setup,business-basics.html,Business basics,"Confirm public identity, contact details, and description.",business-hours.html
20,Setup,business-hours.html,Hours,Set canonical hours once; connections can publish them elsewhere.,business-media.html
21,Setup,business-media.html,Brand & media,"Add logo, hero, and gallery assets independently from page layout.",business-data-review.html
22,Setup,business-data-review.html,Review imported data,Separate owner truth from provider observations and conflicts.,recommended-data-modules.html
23,Setup,recommended-data-modules.html,Choose Data Modules,"Enable canonical business data such as Menu, Events, Pricing, and Amenities.",recommended-apps.html
24,Setup,recommended-apps.html,Choose Ghost Apps,"Install independent Ghost products such as QR Menu, Reviews, and Availability.",recommended-connections.html
25,Setup,recommended-connections.html,Connect existing software,Choose API/OAuth tools separately from Ghost apps.,recommended-device-apps.html
26,Setup,recommended-device-apps.html,Choose Device Apps,Add Android/browser targets separately from API connections.,recommended-plugins.html
27,Setup,recommended-plugins.html,Choose Plugins,Attach smaller reusable extensions to compatible products.,recommended-automations.html
28,Setup,recommended-automations.html,Choose Automations,Install reusable workflows and scripts separately.,public-page-template.html
29,Setup,public-page-template.html,Choose your public experience,"Start with full-scroll, quick links, accordion, or hybrid.",public-page-compose.html
30,Setup,public-page-compose.html,Arrange public sections,"Compose Data Modules, Ghost Apps, and capability actions.",setup-review.html
